AssetID,Hostname,IP,OS,LastScannedAt,IsStale,LastSeenAt
176889,XASWP002-101062,10.101.62.8,,NULL,1,2026-03-22 08:03:59.1566667
176890,XASWP009-101062,10.101.62.17,,NULL,1,2026-03-03 16:20:27.0800000
176891,XASWP007-101034,10.101.34.11,,NULL,1,2026-03-12 16:07:09.7366667
176892,CATWP001-101034,10.101.34.23,,NULL,1,2026-03-12 16:07:09.7833333
176893,XASWP006-101034,10.101.34.10,,NULL,1,2026-03-12 16:07:09.7666667
176894,DSPWP006-101058,10.101.58.19,,NULL,1,2026-03-12 16:07:09.7233333
176895,XASWP009-101058,10.101.58.27,,NULL,1,2026-03-12 16:07:09.7533333
176896,XASWP010-101058,10.101.58.23,,NULL,1,2026-03-03 16:20:27.2000000
176897,XASWP004-101034,10.101.34.34,,NULL,1,2026-03-12 16:07:09.8566667
176898,XASWP006-101062,10.101.62.14,,NULL,1,2026-03-12 16:07:09.8100000
176899,XASWP003-101034,10.101.34.25,,NULL,1,2026-03-12 16:07:09.8400000
176900,XASWP001-101032,10.101.32.10,,NULL,1,2026-03-12 16:07:09.9300000
176901,XASWP002-101032,10.101.32.12,,NULL,1,2026-03-12 16:07:09.8900000
176902,XASWP001-101056,10.101.56.15,,NULL,1,2026-03-12 16:07:09.8700000
176903,DSPWP001-101044,10.101.44.6,,NULL,1,2026-03-12 16:07:09.9166667
176904,XASWP003-101032,10.101.32.13,,NULL,1,2026-03-12 16:07:09.7966667
176905,XASWP006-101044,10.101.44.13,,NULL,1,2026-03-12 16:07:09.8266667
176906,DSPWP007-101058,10.101.58.17,,NULL,1,2026-03-12 16:07:09.9466667
176907,DSPWP001-101058,10.101.58.13,,NULL,1,2026-03-12 16:07:09.9033333
176908,XASWP006-101050,10.101.50.4,,NULL,1,2026-03-12 16:07:09.9900000
176909,XASWP011-101058,10.101.58.25,,NULL,1,2026-03-12 16:07:10.0033333
176910,DSPWP001-101034,10.101.34.16,,NULL,1,2026-03-12 16:07:09.9733333
176911,XASWP001-101060,10.101.60.4,,NULL,1,2026-03-12 16:07:09.9600000
176912,XASWP001-101034,10.101.34.32,,NULL,1,2026-03-12 16:07:10.1266667
176913,XASWP004-101032,10.101.32.11,,NULL,1,2026-03-03 16:20:27.4966667
176914,DSPWP022-101034,10.101.34.42,,NULL,1,2026-03-12 16:07:10.0600000
176915,DSPWP001-101056,10.101.56.14,,NULL,1,2026-03-12 16:07:10.0466667
176916,DSPWP006-101032,10.101.32.23,,NULL,1,2026-03-12 16:07:10.0866667
176917,DSPWP001-101060,10.101.60.12,,NULL,1,2026-03-12 16:07:10.0300000
176918,DSPWP011-101038,10.101.38.18,,NULL,1,2026-03-12 16:07:10.0200000
176919,XASWP011-101032,10.101.32.20,,NULL,1,2026-03-12 16:07:10.1566667
